Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
2005-09-30,1225.92,21.47,66.47,198.8,4.2,1541.5034426559,26.996932029678,83.581093246982,25.730122990164
2005-10-31,1191.96,21.72,67.59,199.2,4.46,1495.7916212349,27.256446536145,84.818748682229,24.876538723648
2005-11-30,1237.37,21.97,68.71,197.6,4.54,1565.3497594256,27.793412006579,86.922409602733,25.931783309069
2005-12-31,1262.07,22.22,69.83,196.8,4.47,1603.087021532,28.223944486789,88.69838179624,26.443803114292
2006-01-31,1278.73,22.406666666667,70.776666666667,198.3,4.42,1611.9623306228,28.24576151454,89.220805450496,26.468702626686
2006-02-28,1276.65,22.593333333333,71.723333333333,198.7,4.57,1606.1005513966,28.423738005368,90.232158551418,26.249624763583
2006-03-31,1293.74,22.78,72.67,199.8,4.72,1618.6400083834,28.500795670671,90.919790227728,26.327837778668
2006-04-30,1302.17,23.0,73.276666666667,201.5,4.99,1615.4420519231,28.533269230769,90.905341666667,26.147280943875
2006-05-31,1290.01,23.22,73.883333333333,202.5,5.11,1592.4536408025,28.663943333333,91.205326440329,25.650640708757
2006-06-30,1253.17,23.44,74.49,202.9,5.11,1543.9267482134,28.878478560867,91.772946586989,24.749582241646
2006-07-31,1260.24,23.66,75.85,203.5,5.09,1548.0593085995,29.063577764128,93.172965909091,24.696786766853
2006-08-31,1287.15,23.88,77.21,203.9,4.88,1578.0133898357,29.276276851398,94.657509870034,25.051393562011
2006-09-30,1317.74,24.1,78.57,202.9,4.72,1623.4780861262,29.691609783144,96.799575961065,25.644156440797
2006-10-31,1363.38,24.36,79.55,201.8,4.73,1688.863328667,30.175527502478,98.541182792369,26.538040282102
2006-11-30,1388.64,24.62,80.53,201.5,4.6,1722.7147384615,30.543003846154,99.903659615385,26.928020270856
2006-12-31,1416.42,24.88,81.51,201.8,4.56,1754.5657087463,30.819668483647,100.96909879832,27.282689787572
2007-01-31,1424.16,25.083333333333,82.056666666667,202.416,4.76,1758.7847610861,30.976986029596,101.33693888247,27.207536656807
2007-02-28,1444.8,25.286666666667,82.603333333333,203.499,4.72,1774.7786770451,31.061902556442,101.46915466006,27.315181413517
2007-03-31,1406.95,25.49,83.15,205.352,4.56,1712.6888705126,31.029133451342,101.21900535422,26.227605554651
2007-04-30,1463.64,25.716666666667,83.74,206.686,4.69,1770.1984582894,31.103005988956,101.27928923585,26.976268314189
2007-05-31,1511.14,25.943333333333,84.33,207.949,4.75,1816.5468957533,31.186575454398,101.37340002837,27.548490451851
2007-06-30,1514.19,26.17,84.92,208.352,5.1,1816.6926066824,31.398203340981,101.88519020696,27.418262740411
2007-07-31,1520.71,26.44,82.813333333333,208.299,5.0,1824.9793956644,31.730214979429,99.382937588115,27.410088167204
2007-08-31,1454.62,26.71,80.706666666667,207.917,4.67,1748.8731213657,32.11312993887,97.032709606878,26.148607189312
2007-09-30,1497.12,26.98,78.6,208.49,4.52,1795.0234706701,32.348598134203,94.240170991414,26.725743047697
2007-10-31,1539.66,27.23,74.46,208.936,4.53,1842.0876874976,32.578652254757,89.085804145767,27.320648130462
2007-11-30,1463.39,27.48,70.32,210.177,4.15,1740.4984583827,32.683630225952,83.635839792175,25.729053579498
2007-12-31,1479.22,27.73,66.18,210.036,4.1,1760.5070965215,33.003110954789,78.764727118208,25.95551010524
2008-01-31,1378.76,27.92,64.25,211.08,3.74,1632.8276219917,33.064889615312,76.089511381941,24.022317760837
2008-02-29,1354.87,28.11,62.32,211.693,3.74,1599.8890933451,33.193503741267,73.590151304011,23.495263401812
2008-03-31,1316.94,28.3,60.39,213.528,3.51,1541.7356162892,33.130680168409,70.698295949477,22.606810842249
2008-04-30,1370.47,28.436666666667,57.383333333333,214.823,3.68,1594.7312500873,33.089991741263,66.773438966808,23.356040643202
